index,name,platform,publisher,developer,cscore,uscore,date,genre
10178,Happy Hammerin',Wii,Gamebridge,Agenda,5.2,tbd,2010,Miscellaneous
10179,Crescent Pale Mist,PlayStation3,SonyOnlineEntertainment,Rockin'Android,5.2,6.2,2010,Action
10180,TerRover,PlayStation3,SonyOnlineEntertainment,CreatStudios,5.2,8.3,2010,Driving
10181,Again: Interactive Crime Novel,DS,Tecmo,Cing,5.2,6.8,2010,Miscellaneous
10182,Lead the Meerkats,Wii,LaplandStudio,InariaInteractive,5.2,8.0,2010,Strategy
10183,Ben 10 Alien Force: The Rise of Hex,Wii,Konami,BlackLanternStudios,5.2,5.0,2010,Miscellaneous
10184,Easy Piano,DS,ValconGames,GameLife,5.2,tbd,2010,Miscellaneous
10185,Ben 10 Ultimate Alien: Cosmic Destruction,Xbox360,D3Publisher,"PapayaStudios,PapayaStudio",5.1,4.8,2010,Action
10186,Unbound Saga,Xbox360,"VogsterEntertainment,LLC",Vogster,5.1,tbd,2010,Action
10187,Cabela's North American Adventures,Xbox360,Activision,FUNLabs,5.1,8.1,2010,Sports
10188,How to Train Your Dragon,PlayStation3,Activision,EtrangesLibellules,5.1,7.0,2010,Action
10189,Racquet Sports,Wii,Ubisoft,AsoboStudio,5.1,8.6,2010,Sports
10190,Haunted House,Xbox360,Atari,ImaginEngine,5.0,4.3,2010,Action
10191,TNA Impact: Cross the Line,PlayStationPortable,SouthPeakGames,PointofView,5.0,6.5,2010,Action
10192,Manic Monkey Mayhem,Wii,TheCodeMonkeys,TheCodeMonkeys,5.0,7.0,2010,Action
10193,Sonic Adventure,PlayStation3,Sega,SonicTeam,5.0,7.1,2010,Action
10194,Need for Speed: Hot Pursuit,Wii,ElectronicArts,ExientEntertainment,5.0,4.3,2010,Driving
10195,Bakugan: Defenders of the Core,PlayStation3,Activision,NowProduction,5.0,tbd,2010,Action
10196,Vampire Moon: The Mystery of the Hidden Sun,DS,CityInteractive,CityInteractive,5.0,tbd,2010,Miscellaneous
10197,Kung-Fu Live,PlayStation3,VirtualAirGuitarCompany,VirtualAirGuitarCompany,5.0,6.5,2010,Action
10198,Adrenalin Misfits,Xbox360,Konami,Konami,5.0,tbd,2010,Action
10199,Fable III: Understone Quest Pack,Xbox360,MicrosoftGameStudios,LionheadStudios,5.0,6.0,2010,Role-Playing
10200,Robox,Wii,DreamBoxGames,DreamBoxGames,5.0,tbd,2010,Action Adventure
10201,Final Fantasy XIV Online,PC,SquareEnix,SquareEnix,4.9,4.0,2010,Role-Playing
10202,Top Gun,PlayStation3,505Games,Doublesix,4.9,4.4,2010,Action
10203,Army of Two: The 40th Day,PlayStationPortable,ElectronicArts,"BuzzMonkey,EAMontreal",4.9,6.2,2010,Action
10204,Lucha Libre AAA Heroes del Ring,Xbox360,Konami,ImmersionSoftware&Graphics,4.9,6.6,2010,Action
10205,Marvel Super Hero Squad: The Infinity Gauntlet,Wii,THQ,THQ,4.9,tbd,2010,Action
10206,Calling,Wii,HudsonEntertainment,HudsonEntertainment,4.9,6.9,2010,Action Adventure
10207,Iron Man 2,PlayStationPortable,Sega,HighVoltageSoftware,4.9,5.0,2010,Action
10208,Ship Simulator Extremes,PC,ParadoxInteractive,VSTEP,4.9,6.4,2010,Simulation
10209,Dance on Broadway,Wii,Ubisoft,LongtailStudios,4.8,3.3,2010,Action
10210,N.O.V.A. - Near Orbit Vanguard Alliance,PlayStationPortable,Gameloft,Gameloft,4.8,6.7,2010,Action
10211,FlingSmash,Wii,Nintendo,Artoon,4.8,7.1,2010,Action
10212,The Fight: Lights Out,PlayStation3,SCEA,ColdwoodInteractive,4.8,7.5,2010,Action
10213,Rock of the Dead,Xbox360,ConspiracyEntertainment,EpicenterStudios,4.8,4.8,2010,Action
10214,Sonic Adventure,Xbox360,Sega,SonicTeam,4.8,7.3,2010,Action
10215,Deadliest Catch: Sea of Chaos,PlayStation3,Crave,Crave,4.8,tbd,2010,Sports
10216,Fishie Fishie,Wii,DKGames,DKGames,4.8,tbd,2010,Adventure
10217,Tom Clancy's HAWX 2,Wii,Ubisoft,Ubisoft,4.7,8.5,2010,Action
10218,Saw II: Flesh & Blood,Xbox360,Konami,ZombieStudios,4.7,5.2,2010,Action Adventure
10219,Brunswick Pro Bowling,PlayStation3,Crave,FarsightStudios,4.7,tbd,2010,Sports
10220,Horrible Histories: Ruthless Romans,Wii,GraffitiEntertainment,VirtualIdentity,4.7,tbd,2010,Adventure
10221,Dragon's Lair,PlayStation3,DigitalLeisureInc.,"DigitalLeisureInc.,DigitalLeisure",4.7,3.8,2010,Action
10222,Winter Voices Prologue: Avalanche,PC,BeyondThePillars,BeyondThePillars,4.7,8.0,2010,Role-Playing
10223,Sonic Free Riders,Xbox360,Sega,Sega,4.7,2.3,2010,Sports
10224,Blood Drive,PlayStation3,Activision,SidheInteractive,4.7,7.4,2010,Simulation
